id,name,last_modified
56,NIUM Rebate collection,2022-06-28 06:18:41
55,Advance Income Tax,2022-06-28 06:18:41
52,Submission of invoices to customers,2022-06-28 06:18:41
51,Register of Charges,2022-06-28 06:18:41
50,Register of Directors,2022-06-28 06:18:41
49,Appointment of Auditors,2022-06-28 06:18:41
48,Annual Return for Company,2022-06-28 06:18:41
47,Income Tax Return for Company,2022-06-28 06:18:41
46,IR8A,2022-06-28 06:18:41
37,Loan Repayment,2022-06-28 06:18:41
28,Factoring submission,2022-06-28 06:18:41
13,Salary,2022-06-28 06:18:41
11,GST,2022-06-28 06:18:41
5,CPF,2022-06-28 06:18:41
4,Factoring submission,2022-06-28 06:03:33
